goal,target,indicator,seriesCode,seriesDesc,release,geoAreaCode,geoAreaName,parentCode,parentName,type,ISO3,UN_Member,X,Y,basePeriod,unitsCode,unitsDesc,unitmultiplierCode,unitmultiplierDesc,reportingTypeCode,reportingTypeDesc,valueDetails,footnotes,sources,timeDetails,nature,value_2000,value_2005,value_2010,value_2015,value_latest_year,latest_year,ObjectId
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),2019.Q3.G.01,332,Haiti,29,Caribbean,Country,HTI,1,-72.33640958,18.40426539,,HA_TH,Thousands of hectares,,,G,Global,,Official country data submitted to FAO,"FAO, Global Forest Resources Assessment",,C: Country data,109,105,101,97,97,2015,103
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),2019.Q3.G.01,334,Heard Island and McDonald Islands,53,Australia and New Zealand,Country,HMD,0,73.52633626,-53.09106147,,HA_TH,Thousands of hectares,,,G,Global,[2000]: NA // [2005]: NA // [2010]: NA // [2015]: NA,NA = A figure was not provided.,"FAO, Global Forest Resources Assessment",,N: Non-relevant,,,,,,2015,104
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),2019.Q3.G.01,336,Holy See,39,Southern Europe,Country,VAT,0,12.45315803,41.90343751,,HA_TH,Thousands of hectares,,,G,Global,,FAO Estimate,"FAO, Global Forest Resources Assessment",,E: Estimated data,0,0,0,0,0,2015,105
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),2019.Q3.G.01,340,Honduras,13,Central America,Country,HND,1,-86.59974381,14.82243161,,HA_TH,Thousands of hectares,,,G,Global,,Official country data submitted to FAO,"FAO, Global Forest Resources Assessment",,C: Country data,6392,5792,5192,4592,4592,2015,106
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),2019.Q3.G.01,344,"China, Hong Kong Special Administrative Region",30,Eastern Asia,Country,HKG,0,114.0266445,22.41749934,,HA_TH,Thousands of hectares,,,G,Global,[2000]: NA // [2005]: NA // [2010]: NA // [2015]: NA,NA = A figure was not provided.,"FAO, Global Forest Resources Assessment",,N: Non-relevant,,,,,,2015,107
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),2019.Q3.G.01,348,Hungary,151,Eastern Europe,Country,HUN,1,19.41221519,47.1651448,,HA_TH,Thousands of hectares,,,G,Global,,Official country data submitted to FAO,"FAO, Global Forest Resources Assessment",,C: Country data,1917,1983,2046,2069,2069,2015,108
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),2019.Q3.G.01,352,Iceland,154,Northern Europe,Country,ISL,1,-19.02116966,64.79134763,,HA_TH,Thousands of hectares,,,G,Global,,Official country data submitted to FAO,"FAO, Global Forest Resources Assessment",,C: Country data,28.8,36.5,42.7,49.2,49.2,2015,109
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),2019.Q3.G.01,356,India,34,Southern Asia,Country,IND,1,79.3608464,22.34642074,,HA_TH,Thousands of hectares,,,G,Global,,Official country data submitted to FAO,"FAO, Global Forest Resources Assessment",,C: Country data,65390,67709,69790,70682,70682,2015,110
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),2019.Q3.G.01,360,Indonesia,35,South-Eastern Asia,Country,IDN,1,113.9174,-0.994582204,,HA_TH,Thousands of hectares,,,G,Global,,Official country data submitted to FAO,"FAO, Global Forest Resources Assessment",,C: Country data,99409,97857,94432,91010,91010,2015,111
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),2019.Q3.G.01,364,Iran (Islamic Republic of),34,Southern Asia,Country,IRN,1,54.19766348,32.74370885,,HA_TH,Thousands of hectares,,,G,Global,,Official country data submitted to FAO,"FAO, Global Forest Resources Assessment",,C: Country data,9325.656,10691.98,10691.98,10691.98,10691.98,2015,112
